Dataset,Algorithm,Time(s),Solution Quality,Full Tour,RelError
Atlanta,BF,200.00,3363473.77,Yes,0.00%
Atlanta,BF,200.00,3353388.44,Yes,0.00%
Atlanta,BF,200.00,3353388.44,Yes,0.00%
Atlanta,BF,200.00,3353388.44,Yes,0.00%
Atlanta,BF,200.00,3353388.44,Yes,0.00%
Atlanta,BF,200.00,3474472.03,Yes,0.00%
Atlanta,Approx,0.01,305974.47,No,0.00%
Atlanta,Approx,0.00,305974.47,No,0.00%
Atlanta,Approx,0.00,305974.47,No,0.00%
Atlanta,LS,0.03,2379951.59,Yes,0.00%
Atlanta,LS,0.03,2494272.57,Yes,0.00%
Atlanta,LS,0.03,2450774.88,Yes,0.00%
Atlanta,LS,0.03,2457016.99,Yes,0.00%
Atlanta,LS,0.03,2560485.23,Yes,0.00%
Atlanta,LS,0.03,2237812.44,Yes,0.00%
Atlanta,LS,0.03,2226183.76,Yes,0.00%
Atlanta,LS,0.03,2263765.74,Yes,0.00%
Atlanta,LS,0.02,2591334.57,Yes,0.00%
Atlanta,LS,0.03,2030676.05,Yes,0.00%
Atlanta,LS,0.03,2379951.59,Yes,0.00%
Atlanta,LS,0.03,2494272.57,Yes,0.00%
Atlanta,LS,0.03,2450774.88,Yes,0.00%
Atlanta,LS,0.02,2457016.99,Yes,0.00%
Atlanta,LS,0.03,2560485.23,Yes,0.00%
Atlanta,LS,0.04,2237812.44,Yes,0.00%
Atlanta,LS,0.03,2226183.76,Yes,0.00%
Atlanta,LS,0.02,2263765.74,Yes,0.00%
Atlanta,LS,0.03,2591334.57,Yes,0.00%
Atlanta,LS,0.03,2030676.05,Yes,0.00%
Atlanta,LS,0.02,2379951.59,Yes,0.00%
Atlanta,LS,0.03,2494272.57,Yes,0.00%
Atlanta,LS,0.03,2450774.88,Yes,0.00%
Atlanta,LS,0.03,2457016.99,Yes,0.00%
Atlanta,LS,0.03,2560485.23,Yes,0.00%
Atlanta,LS,0.03,2237812.44,Yes,0.00%
Atlanta,LS,0.03,2226183.76,Yes,0.00%
Atlanta,LS,0.03,2263765.74,Yes,0.00%
Atlanta,LS,0.03,2591334.57,Yes,0.00%
Atlanta,LS,0.03,2030676.05,Yes,0.00%
Berlin,BF,200.00,19248.66,Yes,0.00%
Berlin,BF,200.00,19248.66,Yes,0.00%
Berlin,BF,200.00,19248.66,Yes,0.00%
Berlin,Approx,0.00,412.33,No,0.00%
Berlin,Approx,0.00,412.33,No,0.00%
Berlin,Approx,0.00,412.33,No,0.00%
Berlin,LS,0.04,11054.71,Yes,0.00%
Berlin,LS,0.04,11620.76,Yes,0.00%
Berlin,LS,0.07,10625.57,Yes,0.00%
Berlin,LS,0.04,11662.81,Yes,0.00%
Berlin,LS,0.05,11638.09,Yes,0.00%
Berlin,LS,0.04,11994.26,Yes,0.00%
Berlin,LS,0.04,10889.24,Yes,0.00%
Berlin,LS,0.04,10999.71,Yes,0.00%
Berlin,LS,0.05,12013.03,Yes,0.00%
Berlin,LS,0.04,11838.75,Yes,0.00%
Berlin,LS,0.04,11054.71,Yes,0.00%
Berlin,LS,0.04,11620.76,Yes,0.00%
Berlin,LS,0.04,10625.57,Yes,0.00%
Berlin,LS,0.04,11662.81,Yes,0.00%
Berlin,LS,0.04,11638.09,Yes,0.00%
Berlin,LS,0.04,11994.26,Yes,0.00%
Berlin,LS,0.05,10889.24,Yes,0.00%
Berlin,LS,0.04,10999.71,Yes,0.00%
Berlin,LS,0.04,12013.03,Yes,0.00%
Berlin,LS,0.04,11838.75,Yes,0.00%
Berlin,LS,0.04,11054.71,Yes,0.00%
Berlin,LS,0.04,11620.76,Yes,0.00%
